Measure	Table	Category	Dashboard_Type	KPI_Type	Visualization_Suggestion
Текущая неделя	Calendar	General	Standard Dashboard	Metric	Card
Прошло времени	Calendar	General	Standard Dashboard	Metric	Card
Прошло рабочего времени	Calendar	General	Standard Dashboard	Metric	Card
кол-во.дн.продаж	Calendar	Sales	Sales Performance Dashboard	Revenue KPI	Line Chart + Card
Дней продаж	Calendar	Sales	Sales Performance Dashboard	Revenue KPI	Line Chart + Card
Дней продаж календарных	Calendar	Sales	Sales Performance Dashboard	Revenue KPI	Line Chart + Card
начало недели	Calendar	General	Standard Dashboard	Metric	Card
Продажи_руб	!Меры	Sales	Sales Performance Dashboard	Revenue KPI	Line Chart + Card
Продажи_22_руб	!Меры	Sales	Sales Performance Dashboard	Revenue KPI	Line Chart + Card
Продажи_23_руб	!Меры	Sales	Sales Performance Dashboard	Revenue KPI	Line Chart + Card
Продажи_24_руб	!Меры	Sales	Sales Performance Dashboard	Revenue KPI	Line Chart + Card
LFL_24/23_прод.руб	!Меры	General	Standard Dashboard	Metric	Card
LFL_прод.руб	!Меры	General	Standard Dashboard	Metric	Card
Продажи_закупка	!Меры	Sales	Sales Performance Dashboard	Revenue KPI	Line Chart + Card
Валовая прибыль	!Меры	Finance	Financial Performance Dashboard	Profitability KPI	Waterfall Chart + Gauge
Валовая_п_22_руб	!Меры	General	Standard Dashboard	Metric	Card
Валовая_п_23_руб	!Меры	General	Standard Dashboard	Metric	Card
Валовая_п_24_руб	!Меры	General	Standard Dashboard	Metric	Card
LFL_валов.руб	!Меры	General	Standard Dashboard	Metric	Card
LFL_24/23_валов.руб	!Меры	General	Standard Dashboard	Metric	Card
Остатки_шт	!Меры	General	Standard Dashboard	Metric	Card
Остатки_22_шт	!Меры	General	Standard Dashboard	Metric	Card
Остатки_23_шт	!Меры	General	Standard Dashboard	Metric	Card
Остатки_24_шт	!Меры	General	Standard Dashboard	Metric	Card
статус	!Меры	General	Standard Dashboard	Metric	Card
Продажи_шт	!Меры	Sales	Sales Performance Dashboard	Revenue KPI	Line Chart + Card
Продажи_23_шт	!Меры	Sales	Sales Performance Dashboard	Revenue KPI	Line Chart + Card
Продажи_24_шт	!Меры	Sales	Sales Performance Dashboard	Revenue KPI	Line Chart + Card
Остаток_тек_шт	!Меры	Inventory	Inventory Management Dashboard	Stock Level KPI	Bar Chart + Matrix
Продажи_руб_РГ	!Меры	Sales	Sales Performance Dashboard	Revenue KPI	Line Chart + Card
Продажи_руб_Эк	!Меры	Sales	Sales Performance Dashboard	Revenue KPI	Line Chart + Card
Остатки_руб	!Меры	General	Standard Dashboard	Metric	Card
Остатки_22_руб	!Меры	General	Standard Dashboard	Metric	Card
Остатки_23_руб	!Меры	General	Standard Dashboard	Metric	Card
Остатки_24_руб	!Меры	General	Standard Dashboard	Metric	Card
прод.ср.дн.шт	!Меры	General	Standard Dashboard	Metric	Card
прод.ср.дн.р	!Меры	General	Standard Dashboard	Metric	Card
Расход_в_сборку	!Меры	Cost	Cost Analysis Dashboard	Cost Control KPI	Column Chart + Tree Map
расход.ср.дн.шт	!Меры	Cost	Cost Analysis Dashboard	Cost Control KPI	Column Chart + Tree Map
LFL_25/24_ост.руб	!Меры	General	Standard Dashboard	Metric	Card
Остаток тек.руб.	!Меры	Inventory	Inventory Management Dashboard	Stock Level KPI	Bar Chart + Matrix
Продано c 1 января 24	!Меры	General	Standard Dashboard	Metric	Card
Продано прошлая неделя	!Меры	General	Standard Dashboard	Metric	Card
Продажи_руб_i	!Меры	Sales	Sales Performance Dashboard	Revenue KPI	Line Chart + Card
Валовая прибыль_i	!Меры	Finance	Financial Performance Dashboard	Profitability KPI	Waterfall Chart + Gauge
% вып.плана_i	!Меры	General	Standard Dashboard	Metric	Card
% выполнения продаж без движения	!Меры	Sales	Sales Performance Dashboard	Revenue KPI	Line Chart + Card
расх_в_сборку_р	!Меры	General	Standard Dashboard	Metric	Card
Всего	!Меры	General	Standard Dashboard	Metric	Card
Списание_руб.	!Меры	General	Standard Dashboard	Metric	Card
Списание_шт.	!Меры	General	Standard Dashboard	Metric	Card
прод_себ_р	!Меры	General	Standard Dashboard	Metric	Card
Остатки_руб_1м	!Меры	General	Standard Dashboard	Metric	Card
Остаток старт	!Меры	Inventory	Inventory Management Dashboard	Stock Level KPI	Bar Chart + Matrix
Цель(всп)	!Меры	General	Standard Dashboard	Metric	Card
Доля в плане	!Меры	General	Standard Dashboard	Metric	Card
Цель на месяц	!Меры	General	Standard Dashboard	Metric	Card
