FromTable	FromColumn	ToTable	ToColumn	Cardinality	Active	CrossFilterDirection
Calendar	Date	LocalDateTable_8ad271e7-94a5-48ec-be85-733afe880f8a	Date	Many:One	True	OneDirection
Calendar	Start_week	LocalDateTable_b2dfa2c6-1adc-43d5-aa47-db3206988557	Date	Many:One	True	OneDirection
Sale	Period	Calendar	Date	Many:One	True	OneDirection
Sale	Org_IDRRef	Organizations	IDRRef	Many:One	True	OneDirection
Sale	Customer_IDRRef	Counteragents	IDRRef	Many:One	True	OneDirection
Stock	Period	Calendar	Date	Many:One	True	OneDirection
Stock	Nomenclature_IDRRef	Nomenclature	IDRRef	Many:One	True	OneDirection
Stock сегодня	Period	LocalDateTable_79d93c86-51a3-4436-9697-4242c19c4c5e	Date	Many:One	True	OneDirection
Stock сегодня	Nomenclature_IDRRef	Nomenclature	IDRRef	Many:One	True	OneDirection
план продаж	Менеджер	Managers	Менеджер	Many:One	True	OneDirection
план продаж	Атрибут	Calendar	Date	Many:One	True	OneDirection
Stock	Nomenclature_IDRRef	ДЛЯ ABC	Nomenclature_IDRRef	Many:One	True	OneDirection
Stock сегодня	Nomenclature_IDRRef	ДЛЯ ABC	Nomenclature_IDRRef	Many:One	True	OneDirection
ProductSalesStatistics	IDRRef	Nomenclature	IDRRef	Many:One	True	OneDirection
Расход комп	Date	Calendar	Date	Many:One	True	OneDirection
Расход комп	Nomenclature_IDRRef	Nomenclature	IDRRef	Many:One	True	OneDirection
Расход комп	Manager_IDRRef	Managers	IDRRef	Many:One	True	OneDirection
себестоимость	Nomenclature_IDRRef	Nomenclature	IDRRef	One:One	True	BothDirections
себестоимость	Period	LocalDateTable_fb4900c6-4db3-42ad-bd05-68476dec9385	Date	Many:One	True	OneDirection
Остаток начало месяца	Nomenclature_IDRRef	Nomenclature	IDRRef	Many:One	True	OneDirection
Остаток начало месяца	Period	Calendar	Date	Many:One	True	OneDirection
hovering_s	Дата	Calendar	Date	Many:One	False	OneDirection
Задачи	dateStart	LocalDateTable_54852211-d364-4a51-9244-3fec57905403	Date	Many:One	True	OneDirection
Задачи	deadline	LocalDateTable_aeee1679-9c27-4410-b397-8fc8b6bf136f	Date	Many:One	True	OneDirection
Задачи	startDatePlan	LocalDateTable_14924cdc-622b-4058-ac99-9bfb3615afe3	Date	Many:One	True	OneDirection
Задачи	endDatePlan	LocalDateTable_51dd36b1-6632-4336-834b-c482dec3f6f6	Date	Many:One	True	OneDirection
Задачи	activityDate	LocalDateTable_48c432d9-6432-4ff5-ab4f-28f4e4b5f8c4	Date	Many:One	True	OneDirection
Задачи	statusChangedDate	LocalDateTable_a6d9da86-cdf3-4bd7-9efd-a4469becacda	Date	Many:One	True	OneDirection
Задачи	Date_upload	LocalDateTable_27764d75-dcca-4e9f-906d-42605ad2e371	Date	Many:One	True	OneDirection
Перекупы для kpi	Менеджер з	Managers	Менеджер	One:One	True	BothDirections
purchase_goods_s	Дата	Calendar	Date	Many:One	True	OneDirection
orders_supplier_s_	Дата	LocalDateTable_75a5b6df-ed0d-4d3c-a485-116560e7d083	Date	Many:One	True	OneDirection
orders_supplier_s_	Дата отгрузки	LocalDateTable_c589659a-0ecf-4dc3-a449-e1e8cc3ce4fa	Date	Many:One	True	OneDirection
orders_supplier_s_	Дата поступления	LocalDateTable_5d81064c-4898-4e39-96fa-62c57818c499	Date	Many:One	True	OneDirection
orders_supplier_s_	Заказ поставщику.Менеджер	Managers	Менеджер	Many:One	True	OneDirection
Counteragents (2)	IDRRef	Counteragents	IDRRef	One:One	True	BothDirections
Counteragents (3)	IDRRef	Counteragents	IDRRef	One:One	True	BothDirections
purchase_goods_s	Заказ поставщику.Дата.1	LocalDateTable_636b38e9-5591-4d07-89cd-3b240f51ef28	Date	Many:One	True	OneDirection
purchase_goods_s	КЛЮЧ	Nomenclature	КЛЮЧ	Many:Many	True	BothDirections
stock_today_s	дата заказа	LocalDateTable_e333d582-edb5-4249-88dc-d8d053871a38	Date	Many:One	True	OneDirection
stock_today_s	IDRRef	Nomenclature	IDRRef	Many:One	False	OneDirection
reserve_s	Дата заполнения	LocalDateTable_c840215c-5e73-45e5-a40d-ab901ee5e918	Date	Many:One	True	OneDirection
reserve_s	у_кого	Managers	Менеджер	Many:One	True	OneDirection
hovering_s	id2	Nomenclature	IDRRef	Many:One	True	BothDirections
Sale	Менеджер доп	Managers	IDRRef	Many:One	True	OneDirection
Sale	Номенклатура доп	Nomenclature	IDRRef	Many:One	True	OneDirection
reserve_s	Nomenclature.IDRRef	Nomenclature	IDRRef	Many:One	True	OneDirection
Sale	OrderDate	LocalDateTable_d790715f-be7a-4677-8c7e-b6b7e129d649	Date	Many:One	True	OneDirection
Sale (2)	Date	LocalDateTable_be7dd85d-a493-4370-81bd-915f0154cb1f	Date	Many:One	True	OneDirection
Marriage_s	Nomenclature_IDRRef	Nomenclature	IDRRef	Many:One	True	OneDirection
