Table	Column	DataType	Description	Hidden	SortByColumn	DataCategory	IsKey
Sale	Period	DateTime		False			False
Sale	Org_IDRRef	String		False			False
Sale	Customer_IDRRef	String		False			False
Sale	Nomenclature_IDRRef	String		False			False
Sale	Manager_IDRRef	String		False			False
Sale	Quantity	Double		False			False
Sale	Price	Double		False			False
Sale	CostPrice	Double		False			False
Sale	Weight	Double		False			False
Sale	Database_IDRRef	String		False			False
Sale	sale	Double		False			False
Sale	weeknum	Int64		False			False
Sale	IDRRef	String		False			False
Sale	Name	String		False			False
Sale	Database_IDRRef2	String		False			False
Sale	Dep_IDRRef	String		False			False
Sale	IDRRef_y	String		False			False
Sale	Номенклатура доп	String		False			False
Sale	IDRRef_y.1	String		False			False
Sale	Менеджер доп	String		False			False
Sale	AddCost	Double		False			False
Sale	AbaConstCost	Double		False			False
Sale	AbaVarCost	Double		False			False
Sale	LaborCost	Double		False			False
Sale	OrderDate	DateTime		False			False
Sale	OrderNumber	String		False			False
Sale	PriceWoVAT	Double		False			False
Sale	Откуда	String		False			False
Sale	Себестоимость	Double		False			False
Sale	Продажа без НДС	Double		False			False
Sale	VAL	Double		False			False
Sale	Продажа_руб_себ	Double		False			False
Sale	RefreshDate	DateTime		False			False
DateTableTemplate_a643651f-1a9e-4791-aa32-e4bf05ef2d8e	Date	DateTime		True		PaddedDateTableDates	False
DateTableTemplate_a643651f-1a9e-4791-aa32-e4bf05ef2d8e	Год	Int64		True		Years	False
DateTableTemplate_a643651f-1a9e-4791-aa32-e4bf05ef2d8e	№Месяца	Int64		True		MonthOfYear	False
DateTableTemplate_a643651f-1a9e-4791-aa32-e4bf05ef2d8e	Месяц	String		True	№Месяца	Months	False
DateTableTemplate_a643651f-1a9e-4791-aa32-e4bf05ef2d8e	№Квартала	Int64		True		QuarterOfYear	False
DateTableTemplate_a643651f-1a9e-4791-aa32-e4bf05ef2d8e	Квартал	String		True	№Квартала	Quarters	False
DateTableTemplate_a643651f-1a9e-4791-aa32-e4bf05ef2d8e	День	Int64		True		DayOfMonth	False
Nomenclature	IDRRef	String		False			False
Nomenclature	Code	String		False			False
Nomenclature	Номенклатура	String		False			False
Nomenclature	GroupGeneral	String		False			False
Nomenclature	Вид номенклатуры	String		False			False
Nomenclature	Характеристика	String		False			False
Nomenclature	Group1	String		False			False
Nomenclature	Group2	String		False			False
Nomenclature	RG_Type	String		False			False
Nomenclature	RG_Subspecies	String		False			False
Nomenclature	RG_Schema	String		False			False
Nomenclature	RG_Coils	String		False			False
Nomenclature	RG_TypeOfRC	String		False			False
Nomenclature	RG_NumberOfSections	String		False			False
Nomenclature	RG_TypeOfControl	String		False			False
Nomenclature	RG_Thread	String		False			False
Nomenclature	RG_Consumption	String		False			False
Nomenclature	Database_IDRRef	String		False			False
Nomenclature	Product Sales	Double		False			False
Nomenclature	Cumulated Sales	Double		False			False
Nomenclature	Cumulated Pct	Double		False			False
Nomenclature	ABC Class	String		False			False
Nomenclature	себест	Double		False			False
Nomenclature	КЛЮЧ	String		False			False
Nomenclature	DescriptionFull	String		False			False
Nomenclature	DescriptionХFull	String		False			False
Nomenclature	Weight	Double		False			False
Nomenclature	GroupTypeID	String		False			False
Nomenclature	GroupID	String		False			False
Managers	IDRRef	String		False			False
Managers	Менеджер	String		False			False
Managers	Database_IDRRef	String		False			False
Managers	Деп	String		False			False
Managers	Менеджер з	String		False			False
Managers	Фамилия	String		False			False
Organizations	IDRRef	String		False			False
Organizations	Name	String		False			False
Counteragents	IDRRef	String		False			False
Counteragents	Code	String		False			False
Counteragents	Клиент	String		False			False
Counteragents	INN	String		False			False
Counteragents	KPP	String		False			False
Counteragents	Country	String		False			False
Counteragents	Database_IDRRef	String		False			False
Counteragents	Type	String		False			False
Counteragents	isClient.	String		False			False
Counteragents	isSupplier.	String		False			False
Counteragents	Marked.	String		False			False
Counteragents	предок_IDRRef	String		False			False
Counteragents	приемник_IDRRef	String		False			False
Counteragents	ID_fin	String		False			False
Counteragents	ключ	String		False			False
Counteragents	Клиент нов	String		False			False
Counteragents	ACTION	String		False			False
Calendar	Date	DateTime		False			False
Calendar	day	String		False			False
Calendar	week	Int64		False			False
Calendar	month	String		False	№_month		False
Calendar	№_month	Int64		False			False
Calendar	year	Int64		False			False
Calendar	DateWithSales	Boolean		False			False
Calendar	Start_week	DateTime		False			False
Calendar	year&week	String		False			False
Calendar	QUARTER	Int64		False			False
Calendar	WeekdayName	String		False	WeekdaySort		False
Calendar	WeekdaySort	Int64		False			False
LocalDateTable_8ad271e7-94a5-48ec-be85-733afe880f8a	Date	DateTime		True		PaddedDateTableDates	False
LocalDateTable_8ad271e7-94a5-48ec-be85-733afe880f8a	Год	Int64		True		Years	False
LocalDateTable_8ad271e7-94a5-48ec-be85-733afe880f8a	№Месяца	Int64		True		MonthOfYear	False
LocalDateTable_8ad271e7-94a5-48ec-be85-733afe880f8a	Месяц	String		True	№Месяца	Months	False
LocalDateTable_8ad271e7-94a5-48ec-be85-733afe880f8a	№Квартала	Int64		True		QuarterOfYear	False
LocalDateTable_8ad271e7-94a5-48ec-be85-733afe880f8a	Квартал	String		True	№Квартала	Quarters	False
LocalDateTable_8ad271e7-94a5-48ec-be85-733afe880f8a	День	Int64		True		DayOfMonth	False
LocalDateTable_b2dfa2c6-1adc-43d5-aa47-db3206988557	Date	DateTime		True		PaddedDateTableDates	False
LocalDateTable_b2dfa2c6-1adc-43d5-aa47-db3206988557	Год	Int64		True		Years	False
LocalDateTable_b2dfa2c6-1adc-43d5-aa47-db3206988557	№Месяца	Int64		True		MonthOfYear	False
LocalDateTable_b2dfa2c6-1adc-43d5-aa47-db3206988557	Месяц	String		True	№Месяца	Months	False
LocalDateTable_b2dfa2c6-1adc-43d5-aa47-db3206988557	№Квартала	Int64		True		QuarterOfYear	False
LocalDateTable_b2dfa2c6-1adc-43d5-aa47-db3206988557	Квартал	String		True	№Квартала	Quarters	False
LocalDateTable_b2dfa2c6-1adc-43d5-aa47-db3206988557	День	Int64		True		DayOfMonth	False
!Меры	Column	Int64		True			False
Stock	Period	DateTime		False			False
Stock	Nomenclature_IDRRef	String		False			False
Stock	Room	String		False			False
Stock	Quantity	Double		False			False
Stock	Database_IDRRef	String		False			False
Stock	Name	String		False			False
Stock	Storages_IDRRef	String		False			False
Stock	Cost	Double		False			False
Stock	Сумма_руб	Double		False			False
Stock сегодня	Period	DateTime		False			False
Stock сегодня	Nomenclature_IDRRef	String		False			False
Stock сегодня	Room	String		False			False
Stock сегодня	Quantity	Double		False			False
Stock сегодня	Database_IDRRef	String		False			False
Stock сегодня	Склад	String		False			False
Stock сегодня	Storages_IDRRef	String		False			False
Stock сегодня	Cost	Double		False			False
Stock сегодня	Сумма_р	Double		False			False
Stock сегодня	Столбец	String		False			False
LocalDateTable_79d93c86-51a3-4436-9697-4242c19c4c5e	Date	DateTime		True		PaddedDateTableDates	False
LocalDateTable_79d93c86-51a3-4436-9697-4242c19c4c5e	Год	Int64		True		Years	False
LocalDateTable_79d93c86-51a3-4436-9697-4242c19c4c5e	№Месяца	Int64		True		MonthOfYear	False
LocalDateTable_79d93c86-51a3-4436-9697-4242c19c4c5e	Месяц	String		True	№Месяца	Months	False
LocalDateTable_79d93c86-51a3-4436-9697-4242c19c4c5e	№Квартала	Int64		True		QuarterOfYear	False
LocalDateTable_79d93c86-51a3-4436-9697-4242c19c4c5e	Квартал	String		True	№Квартала	Quarters	False
LocalDateTable_79d93c86-51a3-4436-9697-4242c19c4c5e	День	Int64		True		DayOfMonth	False
план продаж	Менеджер	String		False			False
план продаж	Атрибут	DateTime		False			False
план продаж	Значение	Int64		False			False
план продаж	Доля	Double		False			False
ДЛЯ ABC	Nomenclature_IDRRef	String		False			False
ДЛЯ ABC	выручка	Double		False			False
ProductSalesByDate	weeknum	Int64		False			False
ProductSalesByDate	IDRRef	String		False			False
ProductSalesByDate	DailySales	Double		False			False
ProductSalesStatistics	IDRRef	String		False			False
