Table	Measure	Expression	Format	Description	Hidden
Calendar	Текущая неделя	WEEKNUM(TODAY(),2)	0		False
Calendar	Прошло времени	 VAR a = DISTINCTCOUNT('Calendar'[Date]) VAR b = DAY(TODAY()) return DIVIDE(b,a)	0%;-0%;0%		False
Calendar	Прошло рабочего времени	 VAR t1 = STARTOFMONTH('Calendar'[Date]) VAR t2 = ENDOFMONTH('Calendar'[Date]) VAR a = NETWORKDAYS(t1,t2,1) VAR t3 = STARTOFMONTH('Calendar'[Date]) VAR t4 = TODAY() VAR b = NETWORKDAYS(t3,t4,1) return DIVIDE(b,a)	0%;-0%;0%		False
Calendar	кол-во.дн.продаж	CALCULATE(DISTINCTCOUNT('Sale'[Period]),'Sale'[Quantity] > 0)	0		False
Calendar	Дней продаж	DISTINCTCOUNT('Sale'[Period])	0		False
Calendar	Дней продаж календарных	DATEDIFF(DATE(2023,01,01),TODAY(),DAY)	0		False
Calendar	начало недели	TODAY()-WEEKDAY(TODAY(),2)-7	General Date		False
!Меры	Продажи_руб	SUM(Sale[sale])	#,0		False
!Меры	Продажи_22_руб	CALCULATE('!Меры'[Продажи_руб],FILTER('Calendar','Calendar'[year] = 2022))	#,0		False
!Меры	Продажи_23_руб	CALCULATE('!Меры'[Продажи_руб],FILTER('Calendar','Calendar'[year] = 2023))	#,0		False
!Меры	Продажи_24_руб	CALCULATE('!Меры'[Продажи_руб],FILTER('Calendar','Calendar'[year] = 2024))	#,0		False
!Меры	LFL_24/23_прод.руб	if('!Меры'[Продажи_23_руб] = BLANK(),100,DIVIDE('!Меры'[Продажи_24_руб],'!Меры'[Продажи_23_руб]))-1	0%;-0%;0%		False
!Меры	LFL_прод.руб	(DIVIDE('!Меры'[Продажи_23_руб],'!Меры'[Продажи_22_руб]))-1	0%;-0%;0%		False
!Меры	Продажи_закупка	SUM(Sale[CostPrice])+SUM(Sale[AddCost])+SUM(Sale[AbaConstCost])+SUM(Sale[AbaVarCost])+SUM(Sale[LaborCost])			False
!Меры	Валовая прибыль	('!Меры'[Продажи_руб]*0.83) - ('!Меры'[Продажи_закупка]) 			False
!Меры	Валовая_п_22_руб	CALCULATE('!Меры'[Валовая прибыль],FILTER('Calendar','Calendar'[year] = 2022))	#,0		False
!Меры	Валовая_п_23_руб	CALCULATE('!Меры'[Валовая прибыль],FILTER('Calendar','Calendar'[year] = 2023))	#,0		False
!Меры	Валовая_п_24_руб	CALCULATE('!Меры'[Валовая прибыль],FILTER('Calendar','Calendar'[year] = 2024))	#,0		False
!Меры	LFL_валов.руб	(DIVIDE('!Меры'[Валовая_п_23_руб],'!Меры'[Валовая_п_22_руб]))-1	0%;-0%;0%		False
!Меры	LFL_24/23_валов.руб	(DIVIDE('!Меры'[Валовая_п_24_руб],'!Меры'[Валовая_п_23_руб]))-1	0%;-0%;0%		False
!Меры	Остатки_шт	SUM(Stock[Quantity])	#,0		False
!Меры	Остатки_22_шт	CALCULATE('!Меры'[Остатки_шт],FILTER('Calendar','Calendar'[year] = 2022))	#,0		False
!Меры	Остатки_23_шт	CALCULATE('!Меры'[Остатки_шт],FILTER('Calendar','Calendar'[year] = 2023))	#,0		False
!Меры	Остатки_24_шт	CALCULATE('!Меры'[Остатки_шт],FILTER('Calendar','Calendar'[year] = 2024))	#,0		False
!Меры	статус	IF(AND('!Меры'[Продажи_24_руб]=BLANK(),'!Меры'[Продажи_23_руб] = BLANK()),1,0)	0		False
!Меры	Продажи_шт	SUM(Sale[Quantity])			False
!Меры	Продажи_23_шт	CALCULATE('!Меры'[Продажи_шт],FILTER('Calendar','Calendar'[year] = 2023))	#,0		False
!Меры	Продажи_24_шт	CALCULATE('!Меры'[Продажи_шт],FILTER('Calendar','Calendar'[year] = 2024))	#,0		False
!Меры	Остаток_тек_шт	SUM('Stock сегодня'[Quantity])	#,0		False
!Меры	Продажи_руб_РГ	CALCULATE('!Меры'[Продажи_руб],FILTER('Sale','Sale'[Database_IDRRef] = "51f4eefb-9561-4f02-bc50-ac50a9a0fa00"))	#,0		False
!Меры	Продажи_руб_Эк	CALCULATE('!Меры'[Продажи_руб],FILTER('Sale','Sale'[Database_IDRRef] = "3bcfb80f-c01b-4bef-b48a-5d790691a733"))	#,0		False
!Меры	Остатки_руб	SUM(Stock[Сумма_руб])	#,0		False
!Меры	Остатки_22_руб	CALCULATE('!Меры'[Остатки_руб],FILTER('Calendar','Calendar'[year] = 2022))	#,0		False
!Меры	Остатки_23_руб	CALCULATE('!Меры'[Остатки_руб],FILTER('Calendar','Calendar'[year] = 2023))	#,0		False
!Меры	Остатки_24_руб	CALCULATE('!Меры'[Остатки_руб],FILTER('Calendar','Calendar'[year] = 2024))	#,0		False
!Меры	прод.ср.дн.шт	DIVIDE('!Меры'[Продажи_шт],DISTINCTCOUNT('Sale'[Period]))	#,0		False
!Меры	прод.ср.дн.р	DIVIDE('!Меры'[Продажи_руб],DISTINCTCOUNT('Sale'[Period]))			False
!Меры	Расход_в_сборку	sum('Расход комп'[Расход])			False
!Меры	расход.ср.дн.шт	DIVIDE('!Меры'[Расход_в_сборку],DISTINCTCOUNT('Расход комп'[Date]))			False
!Меры	LFL_25/24_ост.руб	('!Меры'[Остатки_25_руб]/'!Меры'[Остатки_24_руб] -1)	0%;-0%;0%		False
!Меры	Остаток тек.руб.	CALCULATE(SUM('Stock сегодня'[Сумма_р]))  	#,0		False
!Меры	Продано c 1 января 24	CALCULATE('!Меры'[Продажи_шт],DATESBETWEEN ('Calendar'[Date],"01.01.2024",TODAY()))	#,0		False
!Меры	Продано прошлая неделя	CALCULATE('!Меры'[Продажи_шт],DATESBETWEEN('Calendar'[Date],'Calendar'[начало недели],TODAY()))	#,0		False
!Меры	Продажи_руб_i	CALCULATE(SUM('Sale'[sale]),ALL(hovering_s),'Sale'[Customer_IDRRef] <> "0d211e71-e6b8-11e5-be4d-000c29617c64")	#,0		False
!Меры	Валовая прибыль_i	CALCULATE((SUM(Sale[Продажа без НДС]) - ('!Меры'[Продажи_закупка])),ALL(hovering_s))	#,0		False
!Меры	% вып.плана_i	DIVIDE('!Меры'[Продажи_руб_i],'!Меры'[План_продаж])			False
